contDisplayName,year,pID,name,score,contentStyle
动漫,1952,720750904,小猫钓鱼,8.9,日常
动漫,1954,720752451,夸口的青蛙,8.9,低龄 日常
动漫,1955,720751039,乌鸦为什么是黑的,9.0,低龄 日常
动漫,1962,720750827,大名府,8.9,国风 热血
动漫,1962,720937009,一条丝腰带,9.0,日常 剧情
动漫,1964,720750561,半夜鸡叫,9.0,日常 剧情
动漫,1980,861152513,铁臂阿童木,9.3,战斗 科幻 奇幻
动漫,1981,940232845,三个火枪手,9.0,热血 战斗
动漫,1992,616460955,蜡笔小新,9.3,搞笑 日常
动漫,1995,615820512,蜡笔小新第二季,7.3,搞笑 日常
动漫,1997,878205420,宝可梦第一季,9.3,搞笑 其他 热血
动漫,1998,878922655,百变小樱,9.3,奇幻 搞笑
动漫,1999,881582904,城市猎人：紧急直播，凶恶罪犯寒羽良的死,9.0,搞笑 恋爱 战斗
动漫,2000,933972671,剧场版魔卡少女樱：被封印的卡片,9.3,奇幻
动漫,2001,861152622,网球王子TV版,9.2,竞技 青春 热血 搞笑
动漫,2002,878204555,宝可梦第二季,9.3,搞笑 热血 其他
动漫,2003,673400700,初音岛第一季,8.7,搞笑 恋爱 奇幻 校园
动漫,2003,955663373,废弃公主,9.0,搞笑 剧情
动漫,2003,956590765,天使怪盗,8.8,搞笑 奇幻 恋爱
动漫,2004,615822140,蜡笔小新第三季,7.2,搞笑 日常
动漫,2004,899287187,游戏王：新世代（上）,7.7,热血 奇幻
动漫,2004,899287188,游戏王新世代（中）,8.0,热血 奇幻
动漫,2004,913214528,游戏王新世代（下）,9.1,奇幻 热血
动漫,2004,956590762,怪医黑杰克,9.3,剧情 励志 悬疑
动漫,2005,677232079,初音岛第二季,8.8,恋爱 校园 奇幻
动漫,2005,777272288,樱桃小丸子第五季（上）,7.7,治愈 搞笑
动漫,2005,805769297,樱桃小丸子第五季（下）,7.7,治愈 搞笑
动漫,2005,821864762,樱桃小丸子第四季（下）,7.5,治愈
动漫,2005,861152402,网球王子迹部的礼物,9.1,青春 励志 竞技 热血
动漫,2005,861152440,网球王子二人的武士,8.9,青春 励志 竞技 热血
动漫,2005,956590715,我的家园,7.5,热血 日常 奇幻
动漫,2006,615825716,蜡笔小新第四季,7.6,搞笑 日常
动漫,2006,804104139,虹猫蓝兔七侠传,9.4,战斗 武侠 奇幻
动漫,2006,878204849,宝可梦第三季,9.3,热血 搞笑
动漫,2006,933999539,网球王子OVA版,9.2,热血 竞技
动漫,2006,945521123,中华小子,9.4,武侠 战斗
动漫,2006,955663356,传颂之物,8.9,剧情 玄幻
动漫,2007,617047525,丛林奇遇,8.8,励志 剧情
动漫,2007,640992582,东西茶馆,7.6,治愈 搞笑
动漫,2007,847642687,秦汉英杰,7.6,热血 历史
动漫,2007,956590756,初音岛2第一季,8.7,恋爱 校园
动漫,2008,837212040,虹猫仗剑走天涯,9.3,战斗 武侠
动漫,2008,878918745,蜡笔小新第五季,7.3,搞笑 日常
动漫,2008,955663593,真实之泪,9.0,恋爱 校园
动漫,2009,820995336,虹猫蓝兔光明剑,9.1,武侠 战斗 奇幻
动漫,2009,899329436,三国演义,9.4,历史 战斗
动漫,2009,905434878,两只老鼠的生活意见,7.3,日常 低龄
动漫,2009,956590754,大南南和小麒麟第一季,7.5,治愈 搞笑
动漫,2010,671271074,荒川爆笑团第一季,9.1,搞笑 恋爱
动漫,2010,671271134,荒川爆笑团第二季,9.0,搞笑 恋爱
动漫,2010,878204996,宝可梦第四季,9.0,奇幻 热血 战斗
动漫,2010,878921360,小新超人,9.0,搞笑 日常 热血
动漫,2010,905004903,大奇和童话镇,7.5,日常 治愈 搞笑
动漫,2010,951159993,晶码战士,9.1,科幻 励志
动漫,2010,951160070,交响情人梦最终篇,9.8,恋爱 励志
动漫,2010,955663442,海月姬,9.1,搞笑
动漫,2011,820996465,虹猫蓝兔勇者归来,9.2,战斗 奇幻 武侠
动漫,2011,834071609,山猫和吉咪之嘉年华,7.5,治愈
动漫,2011,847643621,阿诺狗与凯瑞猫,7.5,搞笑
动漫,2011,880893293,秦汉英雄传,9.3,武侠 历史
动漫,2011,955663551,龙之界点,8.5,恋爱 战斗
动漫,2011,956590766,大南南和小麒麟第二季,7.5,治愈 搞笑
动漫,2012,861151574,黑子的篮球,8.6,热血 校园 青春
动漫,2012,861152548,新网球王子TV版,9.1,校园 竞技 热血 青春
动漫,2012,861152604,新网球王子OVA版,9.0,校园 热血 青春 竞技 恋爱
动漫,2012,878920006,蜡笔小新第六季,7.5,搞笑 剧情 日常
动漫,2012,905003840,新的征程,7.4,热血 励志 搞笑
动漫,2012,909517079,热血三国之乱世天下,7.6,历史 国风
动漫,2012,909519381,神龙拯救队之元气星魂,9.2,搞笑 战斗 科幻
动漫,2012,955233240,淮南子传奇第一季,7.5,历史 神话
动漫,2012,956798256,夏雪密会,9.0,奇幻 恋爱
动漫,2013,748619381,山猫和吉咪之一家亲,7.5,日常 剧情
动漫,2013,861152507,宝可梦XY第一季,9.4,奇幻 战斗 治愈 剧情
动漫,2013,880894500,特工兔之神秘的网站,8.3,剧情 奇幻
动漫,2013,905005545,怪物山,7.4,搞笑 神话
动漫,2013,905006009,九天奇缘,7.4,战斗 其他
动漫,2013,905006992,快乐椭魔塔之爆笑成语汇,7.4,日常 搞笑
动漫,2013,913825655,十二生肖之马上就好,7.3,搞笑 奇幻 神话
动漫,2014,861150463,宝可梦XY第二季,9.3,治愈 奇幻 战斗
动漫,2014,880892455,火鸡哥,7.6,搞笑 日常
动漫,2014,905004612,神鸡包美丽2,7.5,奇幻 日常 搞笑
动漫,2014,955663587,信长协奏曲,9.1,剧情 奇幻
动漫,2015,640038520,偶像大师灰姑娘女孩,9.2,偶像 青春
动漫,2015,748619463,山猫和吉咪之拼图密码,7.5,剧情 治愈
动漫,2015,861154344,宝可梦XYZ,7.6,热血 科幻
动漫,2015,942871694,爆蛋晶英,8.9,奇幻 搞笑
动漫,2015,945891111,通职者,8.6,奇幻 热血 悬疑
动漫,2015,949843750,狐妖小红娘第三季月红篇,9.2,恋爱 奇幻 搞笑
动漫,2015,949844204,狐妖小红娘第二季王权富贵篇（14-27集）,9.3,恋爱 奇幻 搞笑
动漫,2015,949844432,狐妖小红娘下沙篇,9.2,恋爱 奇幻 搞笑
动漫,2015,955663995,Punch Line,8.9,搞笑
动漫,2016,622189529,冒挖动画合集,,搞笑
动漫,2016,654801894,假面骑士艾克赛德（普通话）,9.8,战斗 热血
动漫,2016,748701540,太乙仙魔录之灵飞纪第一季,8.9,剧情
动漫,2016,845961608,一人之下第一季,9.6,战斗 奇幻
动漫,2016,870188316,梦幻西游之天命之战,8.6,武侠 战斗 奇幻 热血
动漫,2016,870188501,梦幻西游之雷怒危机,9.2,武侠 战斗 奇幻 热血
动漫,2016,896632574,时空使徒,8.4,奇幻 悬疑
动漫,2016,899201880,吃谜少女,7.4,校园 悬疑 推理
动漫,2016,922883959,废柴狐阿桔,9.1,励志 治愈
动漫,2016,933970931,黑子的篮球总集篇第二部：眼泪的前方,9.0,青春 校园 热血 竞技
动漫,2016,933971718,黑子的篮球总集篇第三部：门的另一边,8.9,青春 热血 校园 竞技
动漫,2016,933971923,黑子的篮球总集篇第一部：影与光,8.9,校园 竞技 青春 热血
动漫,2016,942404241,狐妖小红娘之王权富贵总集篇,9.3,恋爱 奇幻
动漫,2016,942871772,战国FAN,8.6,搞笑 战斗 热血 奇幻
动漫,2016,957280108,假面骑士艾克赛德,9.8,战斗 热血
动漫,2016,957565574,一人之下第一季（日语）,9.6,奇幻 战斗
动漫,2017,630262137,麟犀AI韵律,8.0,偶像
