contDisplayName,year,pID,name,score,contentStyle
少儿,1940,950981772,猫和老鼠之汤姆的野蛮女友,7.5,故事 动画
少儿,1940,950981825,猫和老鼠之鸭鸭的烦恼,7.5,故事 动画
少儿,1940,950981831,猫和老鼠之杰瑞和难搞的亲戚们,7.5,故事 动画
少儿,1940,951598905,猫和老鼠之音乐世界历险记,7.3,故事 动画
少儿,1941,900042878,唐老鸭,7.9,动画
少儿,1959,720751038,布谷鸟叫迟了,8.9,动画 儿童影片
少儿,1964,720752336,差不多,9.0,剧情 励志
少儿,1979,718035156,哆啦A梦第一季,9.4,动画 故事
少儿,1979,718061424,哆啦A梦第二季,9.4,动画 故事
少儿,1988,957565598,面包超人第一季（普通话）,9.5,故事 动画
少儿,1988,957565606,面包超人第一季,9.5,故事 动画
少儿,1991,924456179,Hello Kitty的天堂,7.6,故事 动画
少儿,1992,942884147,米菲第一季：经典系列,7.9,动画 故事
少儿,1992,942884362,米菲第二季：经典系列圣诞节特别版,7.8,动画 故事
少儿,1997,902001229,动物也疯狂,7.7,动画
少儿,1997,911958803,猩猩探长,8.1,故事 动画
少儿,1998,942884379,米菲第三季：颜色，数字和图形,7.7,动画 故事
少儿,1999,657297946,小魔女蒙娜,9.2,动画 故事
少儿,1999,880788630,西游记,7.5,动画
少儿,2000,757714923,小鼠一家亲,7.6,动画 故事 早教
少儿,2003,935744186,快乐东西,9.3,动画 故事
少儿,2003,937337308,哪吒传奇,9.2,动画
少儿,2003,942884494,米菲第四季：3D动画米菲和朋友们,7.8,动画 故事
少儿,2004,637070168,安娜的故事,9.6,动画 故事
少儿,2004,690756848,小猪佩奇第一季（英文版）,9.4,动画 亲子
少儿,2004,690770467,小猪佩奇第一季,9.4,动画 亲子
少儿,2004,724181173,小狗皮皮第一季,8.5,动画 故事
少儿,2004,922775780,憨豆先生动画版第三季中文版,9.8,动画 故事
少儿,2005,641143187,天眼小神童（1-26）,9.2,动画 故事
少儿,2005,720413264,出发吧迪亚哥第一季,7.0,动画 故事
少儿,2005,901996712,玉玺传奇,7.8,动画
少儿,2005,901998113,26个秘密,9.2,动画
少儿,2005,901998135,乐园双宝,7.7,动画
少儿,2005,901999993,番茄姐弟,7.8,动画
少儿,2005,902000866,街头足球,7.6,动画 故事
少儿,2005,902003574,交通奇兵,7.8,动画
少儿,2005,908183104,天眼（301-400）,9.1,动画 故事
少儿,2005,908183115,天眼（201-300）,9.1,动画 故事
少儿,2005,908183120,天眼（401-500）,9.1,故事 动画
少儿,2005,917092040,古典宝宝：摇篮曲2,7.2,动画
少儿,2005,917092044,古典宝宝：艺术秀,7.3,动画 早教
少儿,2005,917092048,古典宝宝：音乐秀,7.3,动画 早教
少儿,2005,917092070,古典宝宝：舞蹈秀,7.3,动画 早教
少儿,2005,917092076,古典宝宝：摇篮曲1,7.2,动画
少儿,2005,922767752,虹猫蓝兔小幽默,7.7,动画 故事
少儿,2005,922990555,虹猫蓝兔恐龙世界,7.6,动画 故事
少儿,2005,924593433,虹猫蓝兔开心一刻,7.8,动画 故事
少儿,2006,690757020,小猪佩奇第二季（英文版）,9.6,动画 亲子
少儿,2006,690770589,小猪佩奇第二季,9.6,动画 亲子
少儿,2006,720413131,出发吧迪亚哥第二季,7.0,动画 故事
少儿,2006,847642945,小乐比,9.3,故事 动画
少儿,2006,899329265,尾巴梦幻曲,7.5,动画 故事
少儿,2006,902001565,小老虎邦邦,7.8,动画
少儿,2006,935744185,快乐东西2,9.3,动画 故事
少儿,2006,955285099,天眼小神童（27-52）,9.3,故事 动画
少儿,2007,719285745,花园宝宝第一季,9.1,动画 早教
少儿,2007,719293416,花园宝宝第二季,9.1,动画 早教
少儿,2007,719293636,花园宝宝第五季,9.1,动画 早教
少儿,2007,719293823,花园宝宝第三季,9.1,动画 早教
少儿,2007,719294040,花园宝宝第四季,9.1,动画 早教
少儿,2007,804105109,虹猫蓝兔阿木星,9.1,动画 故事
少儿,2007,847639831,哈皮父子（1-52集）,9.1,动画 故事
少儿,2007,847640041,哈皮父子（53-104集）,9.1,动画 故事
少儿,2007,867047582,劲爆战士（1-39）,9.6,动画 故事
少儿,2007,939854545,快乐东西3,9.3,故事 动画
少儿,2007,940484509,凯蒂猫：英语动画系列,7.5,动画 早教
少儿,2008,720412950,出发吧迪亚哥第三季,7.0,动画 故事
少儿,2008,766863585,气象百问,7.6,动画 故事
少儿,2008,788360731,魔法妈妈故事妙妙屋,7.6,动画 故事
少儿,2008,899292441,尾巴梦幻曲之百科150问（01-75）,7.8,动画 早教
少儿,2008,924456528,Hello Kitty爱漫游,7.6,故事 动画
少儿,2008,951160257,动物小女王,7.4,动画 故事
少儿,2008,955664003,冒险小英雄,7.5,故事 动画
少儿,2009,690764395,小猪佩奇第三季（英文版）,9.6,动画 亲子
少儿,2009,690770787,小猪佩奇第三季,9.6,动画 亲子
少儿,2009,720412761,出发吧迪亚哥第四季,7.2,动画 故事
少儿,2009,751973906,黄山传奇,7.4,动画 故事 早教
少儿,2009,847640651,哈皮父子与水金刚,9.2,动画 故事
少儿,2009,864156913,天眼有奇招（105-156）,7.4,动画
少儿,2009,867047571,劲爆战士第2部（1-39）,9.5,动画 故事
少儿,2009,880891920,纯纯贝贝,7.6,动画 早教
少儿,2009,880897382,棒巨人和小红点,7.6,动画 早教
少儿,2009,894737444,天眼神牛,8.6,动画
少儿,2009,899287484,派乐奇童,7.9,动画
少儿,2009,901995305,黑脸大包公,7.8,动画
少儿,2009,909511655,皮皮猪之丛林日记,7.5,故事 动画 早教
少儿,2009,909511718,皮皮猪之丛林生活,7.7,动画 故事
少儿,2009,909511876,皮皮猪之地震求生记,7.7,故事 动画
少儿,2009,917679561,橡皮泥小镇（1-250集）,7.8,动画 早教
少儿,2009,917679654,橡皮泥小镇（251-365集）,7.6,动画 早教
少儿,2009,939854533,快乐东西4,9.3,故事 动画
少儿,2009,945890916,小虫三宝,7.2,动画 故事
少儿,2009,945892453,麦圈可可漫游记,7.8,动画 故事
少儿,2010,608644681,奇趣梦工坊,7.5,动画 故事
少儿,2010,655502708,小马宝莉友谊魔法第一季,9.5,动画 故事
少儿,2010,737462547,麦圈可可寻宝记,7.6,动画 故事
少儿,2010,746586284,逗逗虎,7.4,动画 故事
少儿,2010,746586286,逗逗虎第二季,7.4,动画 故事
少儿,2010,749973960,淮南子,7.6,动画 故事 早教
少儿,2010,852637055,超能泡蛋第一季,9.2,动画
少儿,2010,864156910,天眼神虎（1-52）,9.0,动画
少儿,2010,864156930,天眼神虎（53-78）,7.5,动画 故事
少儿,2010,867047556,钢甲卡卡龙（14-26）,7.5,动画
少儿,2010,867047576,钢甲卡卡龙（1-13）,9.0,动画
少儿,2010,875621812,小蜜蜂第一季,7.8,故事 动画
少儿,2010,895166176,海底小纵队第一季（英文版）,9.6,动画 故事
少儿,2010,896753984,加菲猫的幸福生活第二季,7.8,动画 故事 亲子
少儿,2010,899287504,神奇小子：麦歌与小布吉,7.7,动画
少儿,2010,899292423,奇趣宝典俱乐部精编,7.9,动画 故事
少儿,2010,901995953,黑脸大包公之无悔青天,7.8,动画
少儿,2010,901998221,超能泡蛋第二季,9.2,动画
少儿,2010,901999775,毛毛的故事,7.7,动画
少儿,2010,905002367,传奇乐章,7.3,动画 故事
少儿,2010,905006377,快乐椭魔塔,7.4,动画 故事
少儿,2010,909517364,水木学堂二,7.7,动画 故事 早教
少儿,2010,916872056,虹猫蓝兔快乐数学（童话王国历险记）,7.2,动画 早教
少儿,2010,917678816,我要打鬼子,7.8,动画 故事
少儿,2010,929029683,鲨鱼哥和美人鱼第一季,7.6,动画 故事
少儿,2010,942960724,棒棒兔与火尾狐,7.3,故事 动画
少儿,2010,942960732,三字经里的故事,7.3,动画 故事
少儿,2010,942960793,锋速战警3D版,9.1,动画 故事
少儿,2010,942960799,棒棒趣味英语,7.3,故事 动画
少儿,2010,942960837,外星兔棒棒,7.3,动画 故事
少儿,2010,942960908,少年师爷第一季,8.9,动画 故事
少儿,2010,945885715,黑猫警长影院版,8.4,儿童影片
少儿,2010,945887548,孔雀西南飞,7.8,励志 日常
少儿,2010,952243838,三毛从军记,9.6,动画 故事
少儿,2010,952243846,三毛奇遇记,7.4,动画 故事
少儿,2010,955285161,钢甲卡卡龙（27-52）,9.1,故事 动画
少儿,2011,638021288,虹猫蓝兔海底历险记,8.9,动画 故事
少儿,2011,640991969,黑黑与白白之奇山学校,7.4,动画 故事
少儿,2011,657834799,小马宝莉友谊魔法第二季,9.7,动画 故事
少儿,2011,690757842,小猪佩奇第四季（英文版）,9.6,动画 亲子
少儿,2011,690770797,小猪佩奇第四季,9.6,动画 亲子
少儿,2011,737670343,笨笨,7.4,动画 故事
少儿,2011,847644372,开心南瓜村,7.6,动画 故事
少儿,2011,847645642,蕾比宝贝与哈派乐园,7.6,动画 故事
少儿,2011,858487722,吉木故事会,8.0,动画 故事
少儿,2011,864156941,天眼神兔,8.7,动画 故事
少儿,2011,865852160,山猫和吉咪之全家乐,7.3,动画 故事
少儿,2011,880892913,正义小兔警,7.6,动画
少儿,2011,886261363,嘻笑一家亲,7.4,动画 故事
少儿,2011,886261377,梦想学园,7.9,动画 故事
少儿,2011,894449695,天工开物之开心岛3,7.8,动画
少儿,2011,896753845,加菲猫的幸福生活第一季,9.3,动画 故事
少儿,2011,899287154,豚鼠部落,7.8,动画 故事
少儿,2011,901996979,亚博和温丽的疑问,7.8,动画
