contDisplayName,year,pID,name,score,contentStyle
电影,1902,955176361,月球旅行记,9.3,奇幻 冒险 喜剧 动作 科幻
电影,1903,955151495,火车大劫案,9.1,动作 西部 犯罪
电影,1914,955149534,残酷的爱情,8.5,剧情 爱情
电影,1914,955178938,竞争对手,8.6,喜剧 剧情
电影,1914,955197268,查理的消遣,8.4,喜剧
电影,1915,955146510,诱拐,8.8,喜剧 爱情
电影,1915,955151321,驾车私奔记,8.7,喜剧
电影,1915,955178295,一个国家的诞生,9.0,爱情 战争 剧情 历史 西部
电影,1915,955178718,流浪汉,9.0,喜剧 剧情
电影,1916,955178934,街头提琴手,9.1,喜剧 剧情
电影,1916,955195309,冒牌的伯爵,8.7,喜剧 爱情
电影,1916,955839340,警察,8.9,喜剧
电影,1916,956115872,党同伐异,9.2,爱情 历史 剧情
电影,1918,955149682,从军记,9.2,战争 喜剧
电影,1918,956115690,狗的生活,9.1,喜剧
电影,1919,955170931,我控诉,9.2,战争 剧情
电影,1920,955180127,巴斯特基顿之邻居们,9.2,喜剧 爱情
电影,1920,955185570,卡里加里博士的小屋,9.2,恐怖 悬疑 犯罪
电影,1920,955186900,一周,9.3,喜剧
电影,1921,955155279,三生计,9.1,奇幻 惊悚 爱情
电影,1921,955180493,孤儿流浪记,9.3,剧情 喜剧
电影,1921,955187333,幽灵马车,9.6,奇幻 恐怖 剧情
电影,1922,955160731,诺斯费拉图,9.0,恐怖 奇幻
电影,1922,955179814,劳工之爱情,9.0,喜剧 爱情
电影,1922,955180337,电气化屋子,9.0,喜剧 剧情
电影,1922,955181020,发薪日,9.2,剧情 喜剧
电影,1923,955172091,待客之道,9.2,喜剧 爱情 惊悚 剧情
电影,1923,955177128,安全至下,9.2,喜剧 爱情 惊悚
电影,1924,955166454,福尔摩斯二世,9.4,喜剧 动作 爱情
电影,1924,955175258,最卑贱的人,9.2,剧情
电影,1925,955166443,七次机会,9.2,喜剧 爱情
电影,1925,955172203,淘金记,9.3,喜剧 冒险 爱情 西部
电影,1925,955220898,战舰波将金号,9.2,剧情 战争 历史
电影,1925,956385880,罢工,9.4,剧情 历史
电影,1926,954199676,圣山,9.0,剧情
电影,1926,955177854,将军号,9.3,动作 喜剧 战争 冒险 剧情
电影,1926,955193607,浮士德,9.1,恐怖 奇幻 爱情
电影,1927,955151288,拿破仑,9.2,战争 剧情 传记 历史
电影,1927,955155347,盘丝洞,8.9,奇幻 剧情 动作
电影,1927,955169337,翼,9.0,爱情 战争 动作 剧情
电影,1927,955197166,大都会,9.3,剧情 科幻
电影,1927,955846304,美国黑社会,8.9,剧情 犯罪
电影,1927,955858751,日出,9.2,爱情 剧情
电影,1928,955146205,圣女贞德蒙难记,9.1,剧情 传记 历史 犯罪
电影,1928,955171963,最后命令,9.1,剧情 冒险 战争
电影,1928,955177052,摄影师,9.1,喜剧 爱情 剧情
电影,1928,955179013,大马戏团,9.3,爱情 喜剧
电影,1928,955179441,笑面人,9.1,剧情 爱情 悬疑 惊悚 恐怖
