contDisplayName,year,pID,name,score,contentStyle
电视剧,1980,630819568,上海滩（粤语）,9.8,爱情 都市
电视剧,1980,686218630,上海滩（普通话）,9.8,爱情 都市
电视剧,1983,660017382,射雕英雄传之东邪西毒（普通话）,9.8,古装 武侠 爱情
电视剧,1983,660018207,射雕英雄传之铁血丹心（普通话）,9.8,武侠 古装 爱情
电视剧,1983,660027911,射雕英雄传之东邪西毒（粤语）,9.8,古装 爱情 武侠
电视剧,1983,660029122,射雕英雄传之华山论剑（粤语）,9.8,古装 爱情 武侠
电视剧,1983,660029162,射雕英雄传之华山论剑（普通话）,9.8,古装 爱情 武侠
电视剧,1983,660030325,射雕英雄传之铁血丹心（粤语）,9.8,古装 爱情 武侠
电视剧,1986,911237387,烟雨濛濛,9.2,爱情 年代 家庭
电视剧,1987,935744812,八旗子弟,9.2,古装 喜剧
电视剧,1988,911237394,京华烟云,9.5,家庭 年代 爱情
电视剧,1990,952423740,双峰第一季,9.7,悬疑 科幻 恐怖 剧情
电视剧,1990,952424118,双峰第二季,9.5,科幻 悬疑 恐怖
电视剧,1991,627753395,少年张三丰,9.3,古装 武侠 剧情 爱情
电视剧,1991,935744797,乙未豪客传奇,9.1,古装 历史
电视剧,1991,950742723,梅格雷探案,9.0,悬疑 剧情
电视剧,1992,649994179,爱你没商量,9.1,都市 爱情 剧情
电视剧,1992,654677467,大时代（粤语）,9.8,都市 职场 家庭 爱情
电视剧,1992,657474010,大时代（普通话）,9.8,职场 爱情 都市 家庭
电视剧,1992,935744412,半边楼,9.5,剧情
电视剧,1992,950742679,梅格雷探案第二季,8.1,剧情 悬疑
电视剧,1993,917797669,痴情不改,6.8,爱情 都市
电视剧,1994,660037646,射雕英雄传94版（粤语）,9.7,古装 武侠 爱情
电视剧,1994,660039034,射雕英雄传94版（普通话）,9.7,古装 武侠 爱情
电视剧,1994,722065900,老友记第一季,9.8,爱情 喜剧 都市
电视剧,1994,722104484,满洲之花,7.8,战争 年代
电视剧,1994,935744526,孽债,9.6,家庭 剧情
电视剧,1995,630794422,神雕侠侣95版（粤语）,9.8,古装 爱情 武侠
电视剧,1995,630858817,刑事侦缉档案（普通话）,9.6,悬疑 警匪
电视剧,1995,649992581,东边日出西边雨,9.5,都市 爱情 剧情
电视剧,1995,658018436,神雕侠侣95版（普通话）,9.8,古装 武侠 爱情
电视剧,1995,677021133,野火春风斗古城,6.9,战争 年代
电视剧,1995,680416558,刑事侦缉档案2（粤语）,9.6,警匪 悬疑 都市
电视剧,1995,680422018,刑事侦缉档案2（普通话）,9.6,悬疑 警匪 都市
电视剧,1995,722065605,老友记第二季,9.9,爱情 喜剧 都市
电视剧,1995,747990816,刑事侦缉档案（粤语）,9.6,悬疑 警匪
电视剧,1995,935744543,雪娘,8.9,古装 爱情
电视剧,1995,935744706,青苹果，红苹果,9.4,青春 家庭
电视剧,1996,617328630,午夜谍影,9.6,剧情 谍战 战争
电视剧,1996,624119007,隋唐演义,9.5,古装 历史
电视剧,1996,660020715,笑傲江湖96版（普通话）,9.1,爱情 武侠 古装
电视剧,1996,660039382,笑傲江湖96版（粤语）,9.1,古装 武侠 爱情
电视剧,1996,680426450,天地男儿（粤语）,9.6,家庭 都市 爱情
电视剧,1996,686278438,天地男儿（普通话）,9.6,都市 家庭 爱情
电视剧,1996,715364871,西游记（粤语）,9.5,喜剧 冒险 奇幻
电视剧,1996,715364932,西游记（普通话）,9.5,冒险 奇幻 喜剧
电视剧,1996,717281437,中国机长,9.3,都市 年代 剧情
电视剧,1996,722065910,老友记第三季,9.9,爱情 喜剧 都市
电视剧,1996,722119075,漂亮女人日记,7.3,爱情
电视剧,1996,934991197,单亲之家,9.4,喜剧 家庭 爱情
电视剧,1996,935744528,其实男人最辛苦,9.2,都市 喜剧 家庭
电视剧,1996,941101227,上海女性,6.8,爱情 剧情
电视剧,1996,952912259,900重案追凶（普通话）,9.4,悬疑 警匪 都市
电视剧,1996,952912261,900重案追凶（粤语）,9.4,悬疑 警匪 都市
电视剧,1996,952912301,新上海滩（普通话）,9.3,年代 都市 剧情
电视剧,1996,952912415,新上海滩（粤语）,9.3,年代 都市 剧情
电视剧,1996,953785528,中国大案录,9.6,警匪 剧情
电视剧,1997,620954507,圆月弯刀（粤语）,9.3,武侠 古装 爱情
电视剧,1997,630015904,新乱世佳人,9.6,家庭 剧情
电视剧,1997,651491178,寇老西儿,9.4,古装 喜剧 剧情
电视剧,1997,654643022,天龙八部97版（粤语）,9.7,古装 武侠 爱情
电视剧,1997,657464986,天龙八部97版（普通话）,9.7,古装 武侠 爱情
电视剧,1997,677003300,请你原谅我,7.5,爱情 家庭
电视剧,1997,680416955,醉打金枝（普通话）,9.3,古装 爱情 喜剧
电视剧,1997,680425052,醉打金枝（粤语）,9.3,古装 爱情 喜剧
电视剧,1997,686234478,刑事侦缉档案3（粤语）,9.4,悬疑 爱情 警匪
电视剧,1997,686235601,鉴证实录（粤语）,9.6,悬疑 警匪 爱情
电视剧,1997,686236214,圆月弯刀（普通话）,9.3,武侠 古装 爱情
电视剧,1997,686238731,刑事侦缉档案3（普通话）,9.4,悬疑 爱情 警匪
电视剧,1997,686238852,鉴证实录（普通话）,9.6,悬疑 警匪 爱情
电视剧,1997,715364967,状王宋世杰（普通话）,9.3,悬疑 古装 爱情
电视剧,1997,715364988,状王宋世杰（粤语）,9.3,悬疑 古装 爱情
电视剧,1997,722065919,老友记第四季,9.8,爱情 喜剧 都市
电视剧,1997,898343816,刘三姐,6.9,剧情 历史 古装
电视剧,1997,933037605,银楼,6.8,剧情 历史
电视剧,1997,935744329,新江山美人,7.3,古装 剧情
电视剧,1997,935744551,情陷中英街,9.2,爱情 年代
电视剧,1997,939750532,李氏家族,6.8,家庭 剧情
电视剧,1997,939817300,鸦片战争演义,9.4,历史 战争
电视剧,1997,952912265,难兄难弟97版（普通话）,9.7,喜剧 爱情 剧情
电视剧,1997,952912300,难兄难弟97版（粤语）,9.7,喜剧 爱情 剧情
电视剧,1998,615641277,清明上河图,9.3,古装 历史 爱情
电视剧,1998,630073474,新少林五祖,9.0,古装 剧情 武侠
电视剧,1998,630556835,农家十二月,9.5,农村 喜剧
电视剧,1998,657413579,陀枪师姐（粤语）,9.6,悬疑 警匪 爱情
电视剧,1998,657413894,陀枪师姐（普通话）,9.6,悬疑 警匪 爱情
电视剧,1998,657468910,妙手仁心（粤语）,9.6,职场 爱情 都市
电视剧,1998,657472403,鹿鼎记98版（普通话）,9.7,古装 爱情 喜剧 武侠
电视剧,1998,657473299,鹿鼎记98版（粤语）,9.7,古装 爱情 喜剧 武侠
电视剧,1998,686241292,妙手仁心（普通话）,9.6,职场 爱情 都市
电视剧,1998,722065933,老友记第五季,9.9,爱情 喜剧 都市
电视剧,1998,758096925,乾隆大帝（粤语）,9.2,古装 武侠 爱情
电视剧,1998,758096937,乾隆大帝（普通话）,9.2,古装 武侠 爱情
电视剧,1998,758097535,西游记2（粤语）,9.5,喜剧 古装 奇幻
电视剧,1998,758097570,西游记2（普通话）,9.5,喜剧 古装 奇幻
电视剧,1998,880788644,警界传奇,7.1,警匪
电视剧,1998,933037816,女人在家,6.9,家庭 爱情 剧情
电视剧,1998,937308691,聊斋先生,9.1,爱情 古装 奇幻 悬疑
电视剧,1998,939733038,食神,9.1,古装 喜剧
电视剧,1999,624125005,狄仁杰断案传奇,9.6,古装 悬疑
电视剧,1999,630048165,中华大丈夫,9.3,剧情
电视剧,1999,630860698,创世纪1（普通话）,9.7,职场 爱情 都市
电视剧,1999,649978156,霹雳菩萨,9.2,古装 武侠
电视剧,1999,649996962,离婚,9.6,家庭 爱情 剧情
电视剧,1999,651747599,红岩,9.4,谍战 年代 战争
电视剧,1999,652701530,财神传奇,9.1,古装 剧情 奇幻 喜剧
电视剧,1999,657412022,雪山飞狐99版（粤语）,8.7,爱情 武侠 古装
电视剧,1999,657412185,雪山飞狐99版（普通话）,8.7,武侠 古装 爱情
电视剧,1999,657474229,创世纪1（粤语）,9.7,职场 爱情 都市
电视剧,1999,680417692,洗冤录（普通话）,9.0,古装 悬疑 剧情
电视剧,1999,686234711,鉴证实录2（粤语）,9.1,爱情 悬疑 警匪
电视剧,1999,686235586,刑事侦缉档案4（普通话）,9.5,悬疑 警匪 爱情 都市
电视剧,1999,686235740,刑事侦缉档案4（粤语）,9.5,悬疑 警匪 爱情 都市
电视剧,1999,686266292,鉴证实录2（普通话）,9.1,悬疑 警匪 爱情
电视剧,1999,715365634,状王宋世杰2（粤语）,9.3,悬疑 古装 爱情
电视剧,1999,715365703,状王宋世杰2（普通话）,9.3,古装 悬疑 爱情
电视剧,1999,715412591,人龙传说（普通话）,9.2,古装 爱情 玄幻
电视剧,1999,715412619,人龙传说（粤语）,9.2,古装 爱情 玄幻
电视剧,1999,715413657,洗冤录（粤语）,9.0,古装 剧情 悬疑
电视剧,1999,717397827,屈原,9.3,历史 古装 剧情
电视剧,1999,722065186,老友记第六季,9.9,喜剧 爱情 都市
电视剧,1999,893374736,北京女人,9.3,剧情 家庭 爱情
电视剧,1999,893374849,庄稼院里的年轻人,6.9,农村 爱情 家庭
电视剧,1999,893375116,命运,9.6,家庭 都市 年代 剧情
电视剧,1999,898343536,危险游戏,8.9,爱情 悬疑
电视剧,1999,898347278,大哥，你好,6.9,都市 喜剧
电视剧,1999,937311043,绍兴师爷,9.4,剧情 古装 历史
电视剧,1999,937479373,古城童话,9.7,剧情 家庭 历史
电视剧,2000,615686778,尚方宝剑,8.9,剧情 古装 喜剧
电视剧,2000,623810843,让爱重来,9.5,家庭 爱情 都市
电视剧,2000,646234985,创世纪2天地有情（普通话）,9.5,职场 爱情 都市
