contDisplayName,year,pID,name,score,contentStyle
纪实,1922,872096872,女巫,9.0,艺术 历史
纪实,1922,872096888,北方的纳努克,9.1,人文 社会 人物
纪实,1924,920847213,珠峰史诗,9.3,自然 地理
纪实,1930,955682699,尼斯印象,9.0,人文 社会
纪实,1933,880422062,无粮的土地,9.0,社会
纪实,1943,912484898,瑞典人在美国,7.8,人物 社会
纪实,1949,621983325,开国大典,10.0,社会 历史
纪实,1955,913961769,黄河大合唱,8.2,社会 艺术 人物
纪实,1956,912484897,北京的星期天,9.4,社会 人文
纪实,1958,925551774,西伯利亚来信,8.9,社会 人文
纪实,1958,932956601,走近蓝色海岸,8.6,历史 人文
纪实,1959,913977567,欢天喜地,8.5,社会 艺术 人文
纪实,1961,872096876,夏日纪事,9.0,人文 社会
纪实,1964,941482938,人生七年1,9.3,社会 人物
纪实,1965,906316521,无尽之夏,9.2,旅游 人文 人物
纪实,1965,912484853,普通法西斯,9.5,历史 人物
纪实,1966,630600193,梦露传奇,7.9,人物
纪实,1966,888716825,战争游戏,9.1,历史 军事
纪实,1967,912484850,别回头,9.6,艺术 人物
纪实,1969,906316536,文明的轨迹,9.3,历史 人文 艺术
纪实,1970,920846998,随他去吧,9.3,人物 艺术
纪实,1970,941482985,人生七年2,9.4,社会 人物
纪实,1970,954116137,法罗文献,9.3,人物 艺术
纪实,1970,955683231,给我庇护,9.1,人物 历史
纪实,1971,872096883,沉默与黑暗的世界,9.1,人物 社会
纪实,1972,955682521,旧世界群像,9.3,人物 社会
纪实,1973,872096891,赝品,9.1,人物
纪实,1973,880422040,李小龙的生与死（普通话）,8.9,人物
纪实,1973,906316583,二战全史,9.3,历史 军事
纪实,1973,906316660,春天的十七个瞬间,9.4,历史 人物 军事
纪实,1974,880422070,可爱的动物,9.4,动物 自然
纪实,1974,916578529,木雕家斯泰纳的狂喜,8.4,人物 人文
纪实,1975,920846611,智利之战,9.1,历史 人物
纪实,1975,955681215,围绕让娜·迪尔曼,9.1,人物
纪实,1976,916578425,达格雷街风情,8.6,人物 社会
纪实,1976,920847113,美国哈兰县,9.2,社会 人物
纪实,1977,920846446,施瓦辛格健美之路,9.1,人物
纪实,1977,941482997,人生七年3,9.4,社会 人物
纪实,1978,921106484,最后华尔兹,9.1,艺术 人物
纪实,1978,925545444,狐狸的故事,7.9,自然 动物
纪实,1980,628966643,豫剧名角常香玉,,人物 艺术
纪实,1980,925541364,大蒜胜十妈,9.0,美食 人文
纪实,1981,920846908,西方文明的衰落,9.2,艺术 人物
纪实,1981,954116164,墙的呢喃,9.4,人文 艺术 人物
纪实,1982,921106698,失衡生活,9.2,社会
纪实,1982,925540621,埃及：永恒之路,9.0,文物 探秘
纪实,1982,954116113,原子咖啡厅,9.5,社会 历史
纪实,1983,912484696,日月无光,9.6,社会 人文
纪实,1983,926129121,话说长江,7.9,人文 地理 自然
纪实,1983,955681399,巴勒斯：一部电影,9.0,人物 探秘
纪实,1984,925540483,别假正经,7.5,人物 艺术
纪实,1984,941483141,人生七年4,9.4,社会 人物
纪实,1985,910209216,寻找小津,9.0,艺术 人文
纪实,1985,916578505,浩劫,8.9,历史 军事
纪实,1987,916578417,前进，神军！,8.7,军事 历史
纪实,1987,954116095,越南家书,9.0,历史 人文
纪实,1988,910209308,约翰·列侬的理想世界,9.3,人物 艺术
纪实,1988,916578400,变形生活,7.7,人文
纪实,1988,921106186,细细的蓝线,9.0,人物 刑侦
纪实,1988,925540558,场面调度：安德烈·塔可夫斯基,7.8,人物
纪实,1989,916578421,太阳牧者,7.8,社会
纪实,1989,925540609,为了全人类,9.1,科技 冒险
纪实,1989,954116020,美国一号公路,9.2,社会 人文
纪实,1990,913972513,巴黎在燃烧,9.2,社会 人物
纪实,1990,916578430,美国内战,9.0,军事 历史
纪实,1990,925193628,真真假假,7.9,社会
纪实,1990,925193693,中华古文化,7.8,历史 文物
纪实,1990,926126817,北京风情,7.5,旅游
纪实,1990,954116190,守夜者雅克·里维特,9.5,人物 艺术
纪实,1990,955681397,60年代的伯克利,9.2,人物 历史
纪实,1991,913975983,我是旺达,9.2,人物 艺术
纪实,1991,925545229,时间简史,8.8,人物
纪实,1991,940366886,德国人生七年,9.2,社会 人物
纪实,1991,940368612,俄国人生七年1,9.5,社会 人物
纪实,1991,941483037,人生七年5,9.8,人物 社会
纪实,1991,954116141,与麦当娜同床,9.3,人物 艺术
纪实,1992,912484536,天地玄黄,9.7,自然 人文
纪实,1992,921106611,黑暗之课,9.1,军事
纪实,1992,940367326,南非人生七年1,9.3,社会 人物
纪实,1992,954118626,制造共识：乔姆斯基与媒体,9.6,人物 社会
纪实,1992,955681338,雅科布,9.2,人文 历史
纪实,1993,916578504,来自东方,8.1,历史
纪实,1993,925540545,一路平安,9.2,人文 艺术
纪实,1993,955681206,黑泽明的电影人生,9.2,人物
纪实,1994,954116185,侯麦：铁证如山,9.4,人物 艺术 人文
纪实,1994,955681404,灵魂空洞,9.0,人物 旅游
纪实,1995,910209248,光之幻影,9.2,艺术 人文
纪实,1995,920846378,指挥的艺术：以前的伟大指挥,9.3,人物 艺术
纪实,1995,925540657,基耶斯洛夫斯基如是说,9.2,人物
纪实,1995,925545181,尘封核爆,9.1,科技
纪实,1995,954116147,来自深处的钟声,9.2,社会 人文
纪实,1996,912484632,微观世界,9.7,动物 自然
纪实,1996,912484922,鳄鱼先生,9.4,动物 自然
纪实,1996,925200864,中国民俗博览,7.6,旅游 社会
纪实,1996,925545125,寻找理查三世,9.2,艺术 人物
纪实,1997,954116084,一代拳王,9.0,人物
纪实,1998,912484741,野鸟世界,9.8,动物 自然
纪实,1998,913970037,纽约巡游,9.2,旅游 地理
纪实,1998,916578423,小小迪特想要飞,8.3,人物 军事
纪实,1998,940366216,美国人生七年2,9.2,社会 人物
纪实,1998,941483021,人生七年6,9.9,人物 社会
纪实,1998,955681347,里赫特：谜,9.4,人物 艺术
纪实,1999,910208378,了解布鲁斯,8.3,人物 艺术
纪实,1999,910209313,死亡先生,9.1,社会 人物
纪实,1999,912484858,乐士浮生录,9.7,人物 艺术
纪实,1999,916578399,我的魔鬼,8.5,人物
纪实,1999,940307705,南非人生七年2,9.2,社会 人物
纪实,1999,955681407,傲慢与偏见：制作纪录,9.1,人物 人文
纪实,2000,638688792,角斗士：残酷的真相,8.9,历史 人物 社会
纪实,2000,916578503,代码奔腾,8.6,科技 社会
纪实,2000,921106361,希望的翅膀,9.1,人物 冒险
纪实,2000,924560944,走向未来：迈向21世纪的北京交通科学管理,7.8,科技 社会
纪实,2000,924561149,食海寻珍,7.8,旅游 美食
纪实,2000,940366882,新人生七年1,9.3,人物 社会
纪实,2001,640111486,制造的原理第一季,9.5,科技 社会
纪实,2001,908050181,蓝色星球：海洋自然史,9.4,自然 动物
纪实,2001,940699774,探索·发现,8.5,历史 人文 地理 探秘
纪实,2002,924561180,斯芬克斯之谜,7.8,探秘 文物
纪实,2003,638693789,罗马斗兽场：死亡竞技场,8.8,社会 历史 人物
纪实,2003,948478181,制造的原理第三、四季,7.4,科技 探秘
纪实,2003,951442434,冷暖人生第一季,9.6,社会 人文
纪实,2003,951661133,冷暖人生第二季,9.4,社会 人文
纪实,2003,951661172,冷暖人生第三季,9.4,社会 人文
纪实,2003,952660554,冷暖人生第四季,9.5,社会 人文
纪实,2003,954116327,冷暖人生第五季,9.8,社会 人文 人物
纪实,2005,903989262,探索神秘的古生代世界,7.4,动物 自然
纪实,2005,940365839,俄国人生七年3,9.5,社会 人物
纪实,2005,941483086,人生七年7,9.8,人物 社会
纪实,2005,948478245,制造的原理第五季,8.4,探秘 科技
纪实,2005,955904531,俄罗斯虎安巴,7.5,动物 自然
纪实,2006,635127065,地球脉动第一季,9.6,动物 自然
纪实,2006,699051851,地球脉动第一季（普通话）,9.7,动物 自然
纪实,2006,740459737,我心目中的陈嘉庚,7.8,人物 历史
纪实,2006,909987075,野生动物奇遇冒险,7.7,自然 动物
纪实,2006,940358284,美国人生七年3,9.3,社会 人物
纪实,2006,940367247,南非人生七年3,9.3,社会 人物
纪实,2006,946976338,荒野求生,9.4,冒险 人物
纪实,2006,948478240,制造的原理第六季,7.5,科技 探秘
纪实,2006,948478254,制造的原理第七季,8.0,探秘 科技
纪实,2007,639032818,制造的原理第十季,8.5,科技 社会
纪实,2007,910000655,解密紫禁城,8.4,文物 历史 人文
纪实,2007,940304561,新人生七年2,9.3,社会 人物
纪实,2007,945133991,荒野求生第二季,9.4,冒险 人物
